startup_name,founded_year,country,industry,fundin_stage,total_funding ($M),employees,annual_revenue ($M),valuation ($B),acquired,IPO,customer_base (M)
Startup_938,2019,China,AI,Seed,381,2119,923,23.33,No,No,97
Startup_939,2007,Brazil,FoodTech,Series B,352,2709,264,18.22,Yes,Yes,29
Startup_940,2003,UK,Gaming,Series C,301,2271,306,8.99,Yes,No,46
Startup_941,2004,Australia,Energy,IPO,126,2278,872,33.11,No,No,46
Startup_942,2013,France,AI,Series C,96,2552,782,13.83,No,No,45
Startup_943,2011,Australia,FoodTech,Seed,383,644,510,28.71,Yes,Yes,37
Startup_944,2017,France,E-commerce,Series B,250,4746,581,35.95,No,Yes,20
Startup_945,2006,Germany,Energy,Series C,429,1294,638,28.72,No,Yes,20
Startup_946,2005,Brazil,Logistics,Seed,462,2045,392,14.78,Yes,Yes,85
Startup_947,2013,UK,Healthcare,Seed,491,4300,910,25.35,No,No,71
Startup_948,2005,India,FinTech,Seed,398,4922,605,10.35,Yes,No,68
Startup_949,2014,Australia,Tech,Series A,455,2183,520,10.75,No,Yes,84
Startup_950,2008,Australia,Tech,Series C,66,3148,141,30.3,No,No,9
Startup_951,2017,Canada,FoodTech,Series A,495,448,895,23.64,Yes,No,7
Startup_952,2012,France,FinTech,Seed,309,3883,317,47.5,Yes,No,88
Startup_953,2012,Australia,FoodTech,Series A,430,2330,820,44.5,No,No,73
Startup_954,2008,USA,Energy,Series C,390,4403,587,19.76,Yes,No,40
Startup_955,2002,Germany,Logistics,Seed,197,467,12,40.73,Yes,Yes,89
Startup_956,2018,Canada,FinTech,Series C,266,4140,301,1.87,No,No,53
Startup_957,2017,France,Energy,Series A,492,3245,892,29.13,Yes,Yes,29
Startup_958,2008,Brazil,Tech,Series B,47,3671,374,13.14,Yes,Yes,4
Startup_959,2008,China,Energy,Seed,456,1981,89,21.15,Yes,Yes,79
Startup_960,2002,Germany,E-commerce,Series B,279,1048,298,13.97,No,No,31
Startup_961,2008,China,EdTech,Seed,467,4506,402,40.93,No,Yes,89
Startup_962,2007,UK,E-commerce,Series B,125,3202,485,35.88,No,Yes,78
Startup_963,2008,Germany,EdTech,Seed,237,2989,238,32.51,Yes,Yes,91
Startup_964,2008,Japan,E-commerce,Series A,440,364,495,38.15,No,No,23
Startup_965,2018,Brazil,FoodTech,Series A,442,551,361,14.91,Yes,Yes,39
Startup_966,2003,Brazil,FoodTech,Series C,255,4206,860,44.89,No,Yes,12
Startup_967,2002,France,EdTech,Seed,342,4321,520,9.06,No,No,16
Startup_968,2007,India,Logistics,Series C,154,190,989,49.98,No,No,24
Startup_969,2003,UK,Gaming,Series C,433,3340,431,29.49,No,Yes,86
Startup_970,2021,USA,FinTech,IPO,112,3252,688,18.53,No,No,59
Startup_971,2013,Brazil,FinTech,Series C,221,32,436,49.49,No,No,5
Startup_972,2008,France,AI,Seed,155,3555,989,12.23,No,No,7
Startup_973,2001,Canada,AI,Series B,474,4677,151,33.96,No,No,29
Startup_974,2022,Australia,E-commerce,Seed,46,1637,418,33.05,No,No,89
Startup_975,2003,Germany,E-commerce,IPO,245,3821,954,4.44,Yes,Yes,85
Startup_976,2017,Canada,Energy,IPO,415,4063,124,7.44,Yes,No,36
Startup_977,2011,France,Energy,Series B,488,13,538,24.14,No,Yes,21
Startup_978,2008,Canada,Tech,Series B,445,3409,617,48.19,No,Yes,56
Startup_979,2014,UK,Tech,Series C,385,3017,362,2.24,No,Yes,84
Startup_980,2018,UK,Logistics,IPO,398,4679,613,8.88,No,Yes,98
Startup_981,2019,Australia,Gaming,Series A,124,297,352,45.91,Yes,Yes,61
Startup_982,2009,Australia,Gaming,Series A,393,4687,641,19.49,No,Yes,69
Startup_983,2018,Australia,E-commerce,Seed,218,759,148,41.45,Yes,No,29
Startup_984,2021,UK,AI,IPO,440,3586,368,6.08,No,No,49
Startup_985,2021,India,Tech,Series A,430,730,337,48.37,No,No,65
Startup_986,2012,UK,FoodTech,IPO,376,47,118,4.37,Yes,Yes,98
Startup_987,2004,USA,Tech,Series B,390,1386,998,45.86,No,No,46
Startup_988,2014,Germany,Healthcare,Series A,135,1806,421,33.03,Yes,Yes,7
Startup_989,2005,India,Gaming,Series A,245,634,853,30.02,Yes,Yes,29
Startup_990,2021,India,FoodTech,IPO,73,4644,456,2.74,No,No,63
Startup_991,2020,India,Logistics,IPO,386,4748,634,4.34,Yes,No,29
Startup_992,2005,USA,AI,Series B,105,2206,995,40.24,Yes,Yes,40
Startup_993,2012,Canada,Logistics,Series C,310,1542,570,6,No,Yes,64
Startup_994,2000,UK,Healthcare,IPO,127,3738,398,15.12,No,Yes,60
Startup_995,2008,Canada,FinTech,IPO,432,4770,29,23.95,No,No,26
Startup_996,2000,USA,AI,Seed,21,650,660,27.46,No,No,66
Startup_997,2017,China,FinTech,Series C,183,4136,789,3.5,Yes,No,43
Startup_998,2011,USA,Energy,IPO,304,4340,947,8.27,Yes,No,14
Startup_999,2022,Australia,FinTech,Series A,172,4297,258,21.81,No,Yes,12
Startup_1000,2005,India,FoodTech,Seed,295,3011,785,48.6,Yes,No,1
Startup_1001,2005,Australia,E-commerce,Seed,146,3672,586,10.22,Yes,Yes,89
Startup_1002,2004,China,Gaming,Series B,184,3104,986,48.58,Yes,No,51
Startup_1003,2018,India,Energy,Series C,107,3849,527,2.14,Yes,Yes,59
Startup_1004,2005,China,AI,Seed,267,2511,510,24.44,Yes,No,25
Startup_1005,2002,France,E-commerce,Series A,430,599,95,15.75,No,No,17
Startup_1006,2007,UK,FoodTech,Series A,171,3550,776,9.89,No,No,67
Startup_1007,2016,Australia,EdTech,Series A,399,2786,633,4.75,No,No,31
Startup_1008,2008,UK,Energy,IPO,227,361,542,23.86,No,No,21
Startup_1009,2002,Brazil,E-commerce,Series B,162,2761,844,26.5,Yes,No,82
Startup_1010,2010,Brazil,AI,IPO,230,3606,657,4.82,Yes,Yes,87
Startup_1011,2020,France,Logistics,IPO,323,1981,959,44.86,Yes,No,28
Startup_1012,2000,Japan,Energy,Seed,489,4455,546,26.24,No,No,99
Startup_1013,2017,USA,FinTech,Series A,70,550,798,28.7,Yes,No,19
Startup_1014,2013,Canada,E-commerce,Seed,462,1185,414,8.52,Yes,Yes,72
Startup_1015,2015,India,Logistics,Series B,464,730,776,33.11,Yes,No,44
Startup_1016,2000,Australia,Gaming,Series C,356,3646,549,46.14,Yes,No,74
Startup_1017,2002,China,FoodTech,IPO,361,3938,658,15,No,Yes,24
Startup_1018,2001,Germany,Gaming,IPO,469,4207,833,4.1,No,No,39
Startup_1019,2017,Brazil,AI,Series C,111,4033,723,38.7,Yes,Yes,31
Startup_1020,2022,India,EdTech,Series C,28,3929,437,20.44,Yes,No,17
Startup_1021,2008,USA,Energy,Series A,148,427,14,30.22,Yes,Yes,11
Startup_1022,2009,India,Energy,Series C,329,782,724,49.05,Yes,No,69
Startup_1023,2016,Canada,Energy,Series A,12,1838,43,38.23,Yes,No,26
Startup_1024,2009,India,Gaming,Seed,475,3570,482,17.82,Yes,No,50
Startup_1025,2007,India,AI,Series C,335,4816,682,10.48,Yes,No,59
Startup_1026,2016,USA,Gaming,Seed,220,1109,826,40.1,No,Yes,99
Startup_1027,2019,France,Energy,Seed,457,222,426,10.47,No,Yes,62
Startup_1028,2002,UK,Logistics,Series A,220,514,852,41.04,Yes,No,75
Startup_1029,2015,USA,Energy,IPO,256,42,546,21.99,Yes,No,54
Startup_1030,2021,France,FinTech,IPO,36,952,86,18.64,No,Yes,21
Startup_1031,2003,Brazil,EdTech,Series B,108,3294,53,23.17,No,No,94
Startup_1032,2011,Japan,EdTech,IPO,108,1821,650,5.4,Yes,No,96
Startup_1033,2011,France,E-commerce,IPO,252,1154,944,10.06,Yes,No,46
Startup_1034,2001,Germany,EdTech,Series A,432,4500,810,27.17,No,Yes,70
Startup_1035,2008,Japan,FoodTech,Series B,179,573,838,43.49,Yes,No,13
Startup_1036,2007,India,E-commerce,IPO,239,327,825,34.12,No,Yes,7
Startup_1037,2004,Canada,AI,IPO,452,3879,29,2.85,No,No,2
Startup_1038,2008,India,FoodTech,Seed,80,4855,32,28.47,No,No,11
Startup_1039,2022,UK,Logistics,IPO,220,3279,318,10.69,No,No,81
Startup_1040,2005,Brazil,Gaming,Series C,213,3639,192,48.28,No,Yes,38
Startup_1041,2013,USA,AI,Seed,313,2577,22,42.32,No,Yes,92
Startup_1042,2015,France,AI,Series C,16,1833,626,26.61,No,No,96
Startup_1043,2016,France,E-commerce,Seed,85,4388,313,44.37,Yes,No,28
Startup_1044,2004,China,FoodTech,Series C,103,422,56,49.37,No,Yes,28
Startup_1045,2001,France,AI,Series B,301,2462,702,9.37,Yes,No,50
Startup_1046,2019,Germany,Logistics,IPO,472,879,48,49.11,No,No,42
Startup_1047,2016,India,Healthcare,Seed,93,275,162,34.53,Yes,No,79
Startup_1048,2002,Germany,AI,Series C,23,3406,555,1.32,Yes,No,50
Startup_1049,2017,China,Gaming,Seed,490,3925,305,0.72,Yes,No,26
Startup_1050,2005,USA,EdTech,Series A,345,601,955,33.14,No,No,41
Startup_1051,2022,UK,Healthcare,Series C,241,4257,392,3.36,Yes,No,59
Startup_1052,2001,Canada,Healthcare,Series A,238,1137,267,48.72,No,No,10
Startup_1053,2012,China,Energy,Series A,78,3675,52,9.58,Yes,Yes,71
Startup_1054,2020,China,Tech,Seed,63,3885,559,33.39,Yes,No,51
Startup_1055,2018,France,Tech,Series B,302,2284,826,11.98,No,No,77
Startup_1056,2010,Canada,Tech,Series A,290,2325,905,47.68,Yes,Yes,33
Startup_1057,2004,USA,FoodTech,Series A,7,54,672,37.6,No,No,26
Startup_1058,2009,Germany,FoodTech,IPO,436,3874,281,45.84,Yes,No,64
Startup_1059,2000,Australia,AI,Series C,119,4991,20,3.51,No,Yes,17
Startup_1060,2007,France,Energy,Series A,290,3575,671,25.02,Yes,Yes,45
Startup_1061,2012,Australia,Tech,Seed,348,479,374,29.82,No,Yes,57
Startup_1062,2012,UK,FinTech,Series C,392,86,140,34.65,No,Yes,3
Startup_1063,2010,Australia,Healthcare,Series C,440,4081,358,30.05,No,Yes,55
Startup_1064,2003,Brazil,Gaming,Series B,216,1418,490,8.15,Yes,Yes,41
Startup_1065,2013,Canada,AI,Series A,128,2743,481,16.58,No,No,95
Startup_1066,2021,India,FoodTech,IPO,132,1372,165,46.67,No,No,76
Startup_1067,2005,UK,Energy,Series A,366,1420,452,3.38,No,Yes,12
Startup_1068,2003,Japan,FinTech,IPO,489,1906,452,38.92,Yes,No,43
Startup_1069,2020,UK,FinTech,Series C,472,2269,577,21.11,Yes,Yes,34
Startup_1070,2011,Australia,FinTech,IPO,364,2295,406,12.58,No,Yes,75
Startup_1071,2013,Brazil,Tech,IPO,25,3789,398,30.88,No,No,85
Startup_1072,2001,Brazil,Tech,Series C,131,2023,679,4.21,Yes,Yes,4
Startup_1073,2001,USA,FinTech,Seed,367,1720,519,16.33,No,No,83
Startup_1074,2005,Canada,Energy,Seed,38,3960,472,20.71,No,No,33
Startup_1075,2008,USA,FoodTech,IPO,263,820,119,32.67,Yes,No,17
Startup_1076,2000,Australia,Healthcare,Seed,238,932,375,40.89,No,Yes,22
Startup_1077,2019,Japan,FinTech,Series A,92,564,422,3.35,No,Yes,42
Startup_1078,2001,Japan,Energy,Series C,328,4438,293,13,No,No,68
Startup_1079,2014,Germany,FinTech,Series C,434,1287,680,24.99,Yes,Yes,2
Startup_1080,2015,Germany,AI,Series C,143,4777,970,39.34,No,Yes,72
Startup_1081,2014,UK,Energy,IPO,388,3566,1,30.64,No,No,16
Startup_1082,2013,India,FinTech,Series C,43,2784,183,1.15,No,No,4
Startup_1083,2011,France,Healthcare,Series A,271,1606,245,31.22,No,Yes,12
Startup_1084,2017,China,Tech,Seed,342,4278,864,45.83,Yes,No,82
Startup_1085,2012,France,Energy,Series B,105,3531,705,2.95,No,Yes,19
Startup_1086,2001,USA,FinTech,Seed,205,526,179,7.35,No,No,30
Startup_1087,2008,Germany,FinTech,Seed,357,775,801,19.07,Yes,Yes,61
Startup_1088,2008,UK,EdTech,Seed,349,2882,496,47.35,Yes,Yes,33
Startup_1089,2008,France,FoodTech,Seed,327,3765,890,12.36,No,No,58
Startup_1090,2011,Canada,Gaming,Series B,478,4715,310,35.52,Yes,Yes,44
Startup_1091,2009,France,Gaming,Seed,228,493,721,14.61,Yes,No,17
Startup_1092,2003,Brazil,Healthcare,IPO,304,1301,888,23.44,No,No,75
Startup_1093,2022,China,FoodTech,IPO,176,136,446,23.18,No,Yes,29
Startup_1094,2016,China,EdTech,Series B,33,1859,344,27.43,Yes,Yes,44
Startup_1095,2010,Canada,Healthcare,IPO,94,2116,560,7.67,Yes,No,51
Startup_1096,2020,Brazil,Gaming,Series A,231,1154,142,5.71,Yes,Yes,48
Startup_1097,2016,China,EdTech,Series B,402,3936,538,9.3,Yes,No,35
Startup_1098,2020,France,EdTech,Series A,466,3262,542,47.17,Yes,Yes,4
Startup_1099,2003,China,Healthcare,Seed,470,1357,385,20.44,No,Yes,15
Startup_1100,2022,France,Energy,Series B,416,3495,145,38.02,Yes,Yes,36
Startup_1101,2014,Japan,FinTech,Seed,126,1504,392,19.91,No,No,71
Startup_1102,2007,Brazil,Tech,Series A,138,3407,216,23.95,Yes,Yes,87
Startup_1103,2017,UK,Tech,Seed,312,1268,609,1.25,Yes,No,65
Startup_1104,2016,Canada,Logistics,IPO,100,1072,40,39.94,Yes,Yes,94
Startup_1105,2018,Brazil,FoodTech,Series A,122,2039,133,5.96,Yes,Yes,12
Startup_1106,2006,Japan,Healthcare,IPO,133,4675,987,8.53,No,No,30
Startup_1107,2008,UK,Healthcare,Series A,11,694,996,24.46,Yes,Yes,96
Startup_1108,2000,France,FoodTech,IPO,101,2343,953,21.24,Yes,No,73
Startup_1109,2010,Brazil,FoodTech,Series A,161,2467,920,37.18,Yes,Yes,57
Startup_1110,2003,UK,Logistics,Series B,299,3030,320,46.7,Yes,No,57
Startup_1111,2020,Germany,Gaming,IPO,340,1443,718,49.33,No,Yes,93
Startup_1112,2011,Germany,EdTech,IPO,450,2900,732,16.67,No,Yes,72
Startup_1113,2015,UK,EdTech,Seed,54,319,588,8.45,Yes,No,11
Startup_1114,2012,China,FinTech,IPO,436,1458,659,17.16,Yes,Yes,62
Startup_1115,2000,China,E-commerce,IPO,159,3604,537,48.13,Yes,Yes,91
Startup_1116,2020,Brazil,E-commerce,Series C,390,3109,502,38.07,No,No,68
Startup_1117,2015,Canada,Energy,Series C,53,3423,712,33.27,No,Yes,49
Startup_1118,2005,UK,E-commerce,Series C,138,152,250,15.16,Yes,Yes,25
Startup_1119,2022,Australia,Logistics,Seed,352,4457,866,37.77,No,No,58
Startup_1120,2008,China,Healthcare,Series A,17,3350,832,22.8,No,No,1
Startup_1121,2014,China,EdTech,IPO,196,4397,597,0.7,No,Yes,35
Startup_1122,2015,Japan,Energy,IPO,339,248,807,46.35,Yes,Yes,26
Startup_1123,2007,Germany,AI,Series C,390,4490,593,45.66,Yes,Yes,17
Startup_1124,2019,USA,Healthcare,Series C,420,2447,113,3.91,No,Yes,80
Startup_1125,2005,Brazil,FinTech,Series B,95,2734,958,3.62,No,No,79
Startup_1126,2017,Germany,AI,Seed,431,902,330,20.62,Yes,No,65
Startup_1127,2019,USA,EdTech,Series C,243,1614,439,49.92,No,No,81
Startup_1128,2013,UK,Gaming,Series A,194,2034,467,32.42,Yes,Yes,81
Startup_1129,2003,India,E-commerce,Series B,224,2293,217,29.32,Yes,Yes,46
Startup_1130,2001,USA,Healthcare,Series C,469,3236,175,29.01,No,Yes,36
Startup_1131,2005,Germany,FoodTech,Series A,3,1788,447,43.29,No,Yes,36
Startup_1132,2011,USA,AI,Seed,328,1836,138,44.48,No,Yes,56
Startup_1133,2008,France,EdTech,Series B,313,1629,605,20.8,Yes,Yes,8
Startup_1134,2016,UK,Energy,Series B,429,2371,548,32.44,No,No,4
Startup_1135,2016,India,FoodTech,IPO,8,4412,636,37.27,No,Yes,4
Startup_1136,2020,UK,Energy,Series C,386,2446,536,33.4,Yes,No,75
Startup_1137,2020,Germany,FinTech,Series A,102,4096,740,35.28,No,No,3
Startup_1138,2017,France,Energy,Series C,223,1619,512,47.79,No,Yes,75
Startup_1139,2008,Japan,AI,Series B,409,2666,159,12.77,No,Yes,2
Startup_1140,2002,Canada,Logistics,Series B,64,1685,506,43.45,Yes,Yes,74
Startup_1141,2009,France,Gaming,Seed,282,4947,905,31.4,No,No,87
Startup_1142,2014,India,EdTech,Series C,12,2483,360,39.91,Yes,No,92
Startup_1143,2009,USA,Gaming,Seed,109,1746,529,3.99,Yes,No,88
Startup_1144,2005,UK,Healthcare,IPO,46,1383,630,8.67,Yes,No,23
Startup_1145,2016,Brazil,E-commerce,Series C,223,3314,275,34.55,Yes,Yes,39
Startup_1146,2018,Australia,Tech,Seed,408,4326,274,29.89,Yes,Yes,96
Startup_1147,2014,France,Logistics,Series B,121,1672,718,31.95,No,No,74
Startup_1148,2001,China,Logistics,IPO,222,111,277,18.94,No,Yes,88
Startup_1149,2014,Japan,Energy,Series C,164,1082,138,43.26,No,No,74
Startup_1150,2010,USA,Logistics,Seed,102,631,814,23.63,Yes,No,36
Startup_1151,2004,Germany,Tech,IPO,60,4372,330,33.05,Yes,No,58
Startup_1152,2003,Japan,Tech,IPO,137,4697,562,33.27,No,No,2
Startup_1153,2014,Germany,E-commerce,Series B,97,1407,217,44.65,Yes,No,50
Startup_1154,2016,China,Logistics,IPO,371,2430,501,8.48,Yes,Yes,98
Startup_1155,2019,USA,Tech,Seed,17,528,210,7.46,Yes,No,92
Startup_1156,2018,Canada,Healthcare,Series C,150,2387,54,2.61,No,Yes,53
Startup_1157,2002,Canada,AI,IPO,370,2147,930,43.84,No,No,55
Startup_1158,2022,Australia,FoodTech,Series C,183,1337,673,0.74,No,Yes,23
Startup_1159,2014,Germany,Energy,Series B,160,2188,703,31.06,No,No,13
Startup_1160,2018,China,E-commerce,IPO,292,1288,304,42.39,Yes,No,93
Startup_1161,2005,Germany,Healthcare,Series C,212,4889,263,27.05,No,No,35
Startup_1162,2016,Australia,Energy,Series C,50,2549,679,46.65,Yes,Yes,92
Startup_1163,2017,France,EdTech,Series A,294,2693,736,10.75,No,Yes,60
Startup_1164,2002,Germany,Energy,IPO,123,681,141,24.02,Yes,No,23
Startup_1165,2008,UK,Healthcare,Series B,46,4417,32,5.22,No,No,69
Startup_1166,2000,UK,Logistics,Series A,364,1423,901,39.88,No,No,99
Startup_1167,2018,Germany,Logistics,Seed,336,4574,632,1.77,Yes,Yes,26
Startup_1168,2015,USA,EdTech,Seed,493,4867,85,19.32,Yes,Yes,86
Startup_1169,2002,Canada,AI,Series B,416,4080,746,7.95,No,Yes,52
Startup_1170,2019,USA,Healthcare,Series A,151,1566,706,38.37,No,Yes,17
Startup_1171,2009,Australia,Logistics,Series B,144,979,490,31.35,Yes,No,81
Startup_1172,2017,Japan,FinTech,Seed,213,4473,814,38.88,No,No,7
Startup_1173,2010,Canada,Gaming,Series B,303,3932,524,47.95,Yes,No,67
Startup_1174,2006,Germany,Gaming,Series B,213,292,914,36.88,No,No,29
Startup_1175,2010,USA,FoodTech,Series A,150,3172,70,9.56,No,Yes,24
Startup_1176,2008,UK,Logistics,Seed,274,4102,519,49.1,No,Yes,69
Startup_1177,2015,China,AI,Series C,76,1486,760,18.51,No,No,53
Startup_1178,2008,China,E-commerce,Series C,415,1848,286,47.28,No,Yes,31
Startup_1179,2002,India,AI,Seed,268,4709,68,24.4,Yes,No,24
Startup_1180,2020,Australia,EdTech,Series A,57,1129,790,32.89,No,Yes,37
Startup_1181,2000,Germany,Gaming,Series B,351,842,500,32.14,No,Yes,6
Startup_1182,2013,Germany,Healthcare,IPO,469,1972,455,40.49,No,Yes,54
Startup_1183,2001,China,EdTech,Seed,498,1206,235,11.3,No,No,30
Startup_1184,2020,India,EdTech,Series C,149,4439,217,1.47,No,Yes,72
Startup_1185,2004,China,Healthcare,IPO,346,2009,130,11.89,Yes,No,96
Startup_1186,2016,China,FoodTech,Series A,235,3887,241,42.15,Yes,No,32
Startup_1187,2003,China,FoodTech,Series A,82,3535,568,44.05,No,No,72
Startup_1188,2010,China,FoodTech,Series A,87,860,313,41.88,No,Yes,62
Startup_1189,2000,France,FinTech,Series A,209,825,741,42.37,Yes,Yes,13
Startup_1190,2012,Australia,Logistics,Series C,244,1025,789,43.85,No,Yes,98
Startup_1191,2018,India,AI,IPO,399,3356,152,0.74,No,No,31
Startup_1192,2020,France,Energy,Seed,361,4730,250,37.18,Yes,Yes,40
Startup_1193,2005,Australia,FinTech,Series B,349,2616,592,17.81,No,No,50
Startup_1194,2010,Germany,FinTech,Series A,69,1265,636,29.07,No,No,62
Startup_1195,2005,China,Gaming,Series C,312,590,12,45.48,No,Yes,38
Startup_1196,2008,Japan,Healthcare,Seed,232,2704,809,37.8,Yes,Yes,56
Startup_1197,2013,Japan,AI,IPO,90,1539,500,32.12,No,No,44
Startup_1198,2020,China,Gaming,Series B,82,2606,490,15.47,Yes,Yes,18
Startup_1199,2001,Germany,Energy,Series A,8,2289,535,4.07,No,Yes,66
Startup_1200,2015,France,Gaming,IPO,196,1847,105,12.06,Yes,No,91
Startup_1201,2018,France,Gaming,Seed,116,1136,528,1.77,No,Yes,20
Startup_1202,2012,Germany,Gaming,IPO,130,2996,814,42.07,No,Yes,47
Startup_1203,2019,USA,FinTech,Seed,252,2757,602,39.87,No,No,27
Startup_1204,2002,Canada,FinTech,IPO,379,1737,211,36.25,Yes,No,46
Startup_1205,2018,USA,Logistics,Seed,266,2986,408,34.51,Yes,Yes,61
Startup_1206,2016,China,FinTech,Series A,403,4956,638,31.56,Yes,No,69
Startup_1207,2001,Japan,Tech,Series B,412,3032,682,22.39,Yes,No,96
Startup_1208,2007,Brazil,AI,Series A,82,3322,737,35.6,No,Yes,59
Startup_1209,2022,USA,Logistics,IPO,477,4565,407,14.64,No,No,9
Startup_1210,2008,Germany,Energy,Seed,242,4151,568,15.7,Yes,Yes,29
Startup_1211,2019,UK,Healthcare,Seed,288,1243,871,16.95,No,No,73
Startup_1212,2006,Australia,Tech,Series A,132,486,524,12.99,Yes,No,92
Startup_1213,2005,France,Logistics,IPO,51,2107,84,35.02,Yes,Yes,98
Startup_1214,2005,USA,Healthcare,Series A,73,4918,962,24.96,No,No,72
Startup_1215,2018,UK,Healthcare,Series A,311,4230,866,1.49,No,Yes,41
Startup_1216,2017,France,FinTech,IPO,78,919,747,23.17,No,Yes,27
Startup_1217,2022,UK,Logistics,Series A,256,4661,188,33.6,Yes,No,26
Startup_1218,2014,Canada,E-commerce,IPO,433,421,429,9.49,Yes,No,8
Startup_1219,2010,Germany,Healthcare,Series A,382,4580,131,23.56,No,Yes,27
Startup_1220,2021,Brazil,Gaming,Series C,485,394,119,31.97,No,No,79
Startup_1221,2020,Brazil,Tech,Series A,112,362,551,30.22,No,No,20
Startup_1222,2010,Australia,AI,Series C,156,3419,607,38.82,Yes,Yes,10
Startup_1223,2021,France,Energy,Series A,133,2413,493,20.34,No,No,36
Startup_1224,2011,France,Healthcare,Seed,6,1375,413,45.04,No,Yes,79
Startup_1225,2011,Australia,E-commerce,IPO,298,4386,653,49.87,No,No,5
Startup_1226,2013,France,EdTech,Seed,63,2108,383,16.69,Yes,No,18
Startup_1227,2021,Germany,Gaming,IPO,86,3783,885,7.42,No,Yes,1
Startup_1228,2009,Brazil,EdTech,IPO,139,888,142,14.98,No,No,87
Startup_1229,2014,Japan,Logistics,Series A,12,3206,694,26.95,No,No,57
Startup_1230,2004,France,AI,Series B,171,2117,199,22.73,No,Yes,6
Startup_1231,2021,China,FinTech,IPO,307,3753,717,45.17,Yes,No,5
Startup_1232,2011,USA,AI,Series C,121,4193,185,3.1,Yes,No,95
Startup_1233,2001,Japan,Tech,Seed,477,4529,342,47.56,Yes,No,53
Startup_1234,2009,France,EdTech,Series B,194,324,394,17.38,No,No,86
Startup_1235,2016,Brazil,E-commerce,Series C,83,159,603,13.68,Yes,No,59
Startup_1236,2003,Brazil,Gaming,Series A,245,1673,125,49.86,Yes,Yes,53
Startup_1237,2000,Canada,Energy,IPO,68,3743,706,2.59,No,Yes,92
Startup_1238,2010,Brazil,Gaming,Series A,241,2539,101,18.7,No,No,34
Startup_1239,2006,Canada,Gaming,IPO,493,3517,620,42.79,Yes,No,14
Startup_1240,2005,India,E-commerce,Series A,178,2937,232,30.75,Yes,No,44
Startup_1241,2016,China,FinTech,Series B,225,1809,605,29,Yes,Yes,84
Startup_1242,2005,Japan,FinTech,Series C,6,666,524,32.51,Yes,No,91
Startup_1243,2020,UK,Gaming,Series A,40,4921,715,4.39,Yes,Yes,36
Startup_1244,2013,UK,E-commerce,Seed,205,410,749,4.18,Yes,No,11
Startup_1245,2021,Japan,Energy,IPO,378,3636,341,12.22,No,No,79
Startup_1246,2003,Germany,Gaming,Series A,108,2158,352,41.4,No,No,6
Startup_1247,2015,China,Energy,IPO,407,2752,543,34.16,No,No,81
Startup_1248,2004,France,FinTech,Series A,337,582,275,1.96,Yes,Yes,98
Startup_1249,2015,China,Logistics,Series B,82,322,922,29.84,Yes,Yes,72
Startup_1250,2007,Brazil,Healthcare,IPO,81,1947,188,7.6,No,Yes,26
Startup_1251,2008,France,Tech,Series B,42,1406,993,45.76,Yes,No,49
Startup_1252,2008,Canada,FoodTech,IPO,463,157,660,15.97,No,No,57
Startup_1253,2004,Australia,FinTech,Series B,125,3578,988,46.8,No,No,85
Startup_1254,2001,Japan,AI,Series C,292,1953,104,9.68,Yes,No,34
Startup_1255,2000,Germany,Energy,Series B,191,1752,262,25.81,No,Yes,87
Startup_1256,2004,USA,Energy,IPO,3,4486,223,27.49,No,Yes,52
Startup_1257,2005,Australia,Gaming,Series C,385,2254,715,8.88,Yes,No,10
Startup_1258,2003,Japan,Tech,Series C,138,1626,427,0.12,No,Yes,10
Startup_1259,2009,India,FoodTech,Series C,255,3360,970,17.41,No,No,72
Startup_1260,2002,UK,FoodTech,Series A,327,694,380,47.5,No,No,24
Startup_1261,2004,Brazil,FoodTech,IPO,412,3946,938,48.08,Yes,No,18
Startup_1262,2019,France,Tech,Series C,199,61,575,37.83,No,No,39
Startup_1263,2008,Japan,Healthcare,Series C,90,2875,369,41.69,Yes,No,46
Startup_1264,2015,Brazil,Healthcare,Series A,105,756,964,8.78,No,Yes,52
Startup_1265,2013,USA,FoodTech,Seed,286,2908,19,22.63,Yes,Yes,69
Startup_1266,2012,India,Energy,Series B,40,1451,396,24.37,No,No,45
Startup_1267,2019,UK,Logistics,Series C,470,2646,681,17.5,Yes,Yes,23
Startup_1268,2012,India,Gaming,IPO,376,3377,190,9.26,No,Yes,53
Startup_1269,2008,France,Energy,Series C,49,4272,141,26.47,No,No,4
Startup_1270,2007,USA,Gaming,Series A,74,4829,92,10.4,No,Yes,33
Startup_1271,2016,Germany,FoodTech,Series A,272,2382,687,46.33,No,No,34
Startup_1272,2003,China,Gaming,Series C,345,1870,152,45.15,No,No,25
Startup_1273,2001,UK,AI,Series B,180,2746,165,15.1,Yes,No,28
Startup_1274,2000,Australia,Tech,Series C,175,2603,168,23,Yes,No,47
Startup_1275,2021,China,Tech,IPO,369,224,874,12.79,Yes,No,65
Startup_1276,2004,Brazil,FinTech,Seed,74,4971,626,40.14,Yes,No,68
Startup_1277,2004,Japan,Energy,Seed,167,4387,100,17.35,Yes,No,27
Startup_1278,2004,China,Tech,Series C,231,4606,79,3.05,Yes,Yes,85
Startup_1279,2021,India,E-commerce,Series C,104,2948,116,39.27,No,Yes,12
Startup_1280,2005,India,FoodTech,Series A,245,3946,226,31.16,Yes,No,95
Startup_1281,2013,France,Logistics,Series C,134,1362,355,38.87,Yes,Yes,4
